long_name,priceToBook
Apple Inc.,35.250843
"Aterian, Inc.",7.804348
"GoPro, Inc.",7.541697
Hamilton Beach Brands Holding Company,3.3813674
Turtle Beach Corporation,3.6953576
iRobot Corporation,3.0959027
Koss Corporation,8.73817
Emerson Radio Corp.,0.9534884
Rockford Corporation,11.554622
"The Singing Machine Company, Inc.",1.3304721
"Sonos, Inc.",7.6605186
Universal Electronics Inc.,2.0693476
VOXX International Corporation,0.6448581
Vuzix Corporation,6.3494077
