long_name,pegRatio
Apple Inc.,1.53
"GoPro, Inc.",1.69
Turtle Beach Corporation,1.28
iRobot Corporation,1.61
"Sonos, Inc.",1.69
Universal Electronics Inc.,1.01
Vuzix Corporation,-3.06
