long_name,forwardPE
Apple Inc.,27.368912
"Aterian, Inc.",-153.85715
"GoPro, Inc.",12.999999
Hamilton Beach Brands Holding Company,9.386046
Turtle Beach Corporation,17.34682
iRobot Corporation,17.650293
"Sonos, Inc.",33.141415
Universal Electronics Inc.,9.845992
Vuzix Corporation,-53.607143
VIZIO Holding Corp.,120.18182
